keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
Chess By panchatantra,Jewish Fairy Tales and Fables,https://books.google.com/books?hl=en&lr=&id=AWR9CgAAQBAJ&oi=fnd&pg=PT5&dq=Chess+By+panchatantra&ots=yZCmzlKLVJ&sig=nc6RPep7n-nR5Ifo7NDcAT6YV6U,G Landa,2015,2015,"The very cordial welcome given to my earlier volume of “Jewish Fairy Tales and Fables” has prompted me to draw further upon Rabbinic lore in the interest, chiefly, of the children. How …",,
Chess By panchatantra,Interpreting Indian History,https://www.jstor.org/stable/26978912,I Habib,Social Scientist,2020,"… , that it gave the world the game of chess; the Arabic numerals (hindsa) which the Arabs called ‘Indian numerals’; and the Panchatantra, the famous animal stories. What Amir Khusrau …",,
Chess By panchatantra,FoodForce2-An interactive and collaborative educational learning platform,https://ieeexplore.ieee.org/abstract/document/5444440/,"D Gupta, M Taneja, P Kumar…",2009 IEEE Toronto …,2009,"… Strategic games like computer chess, sudoku, crosswords and mastermind are very helpful in enhancing the mental skills of a person. However, their scope is limited and they fail to …",,
Chess By panchatantra,Mythology in Children's Literature: A Narrative Study on Roopa Pai's Gita,https://nalans.com/index.php/nalans/article/view/589,"T Rajalakshmi, S Ramya",Journal of Narrative and Language Studies,2022,"… For instance, she draws out the similarity between the Akshauhini and the modern-day chess. She culls out references of ideas similar to that of Gita from various sources, like …",,https://nalans.com/index.php/nalans/article/download/589/241
Chess By panchatantra,The Importance of Ancient Iran,https://www.jstor.org/stable/25664328,D PATEL,2010,2010,"… , kingship, and games such as chess and backgam mon (p 30). Another text that was trans lated into middle Persian - and later Ara bic - was the Panchatantra. Since they also looked …",,
Chess By panchatantra,Khusrau I Anushirvan–The Great Sasanian Ruler,https://jps.library.utoronto.ca/index.php/nmcjournal/issue/download/2182/316#page=36,A Atef,NEAR AND MIDDLE EASTERN CIVILIZATIONS,2017,"… The Persian monarch most famously commissioned a translation of the Indian Panchatantra … 16 Additionally, Khusrau imported the game of chess from India, which he considered to be …",,https://jps.library.utoronto.ca/index.php/nmcjournal/issue/download/2182/316#page=36
Chess By panchatantra,Amir Khusro,,Q Rais,1975,1975,,,
Chess By panchatantra,Umberto Eco's The Name of the Rose and Intertextuality: Eastern Themes.,https://roderic.uv.es/bitstream/10550/79115/1/7724595.pdf,M ABDOLLAHI,Scripta,2020,"… More sophisticated examples are found in Nizami Ganjavi’s works (especially the Haft Peykar) as well as in the book of Kalilah va Demna (Panchatantra), and of course …",,https://roderic.uv.es/bitstream/10550/79115/1/7724595.pdf
Chess By panchatantra,Indo-Persian Relations With Reference to the Gupta-Sassanid Period,https://www.researchgate.net/profile/Mojtaba_Doroodi/publication/353549037_Arta_and_Asa_in_proper_names_and_the_range_of_their_political_and_religious_concepts/links/61027b700c2bfa282a0ae54e/Arta-and-Asa-in-proper-names-and-the-range-of-their-political-and-religious-concepts.pdf#page=14,A Dey,THREE DAY INTERNATIONAL SEMINER,2018,"The Indus Valley (Harappan) civilization, which is one of the oldest historically known civilizations, was located in ancient India, and was contemporary with the Proto Elamite and …",,https://www.researchgate.net/profile/Mojtaba_Doroodi/publication/353549037_Arta_and_Asa_in_proper_names_and_the_range_of_their_political_and_religious_concepts/links/61027b700c2bfa282a0ae54e/Arta-and-Asa-in-proper-names-and-the-range-of-their-political-and-religious-concepts.pdf#page=14
Chess By panchatantra,Editorial Material in the Babylonian Talmud and Its Sasanian Context,https://muse.jhu.edu/pub/56/article/886558/summary,S Gross,AJS Review: The Journal of the Association for Jewish …,2023,"… dates the invention of both chess and backgammon to the … this story, according to which chess and backgammon were … in part on the Sanskrit Panchatantra, also traveled westward. …",,
